No.,Name,A,B,C,Minimum-temperature,Maximum-temperature,Eq
-,-,A,B,C,T_min,T_max,VaPr
-,-,1,1,1,K,K,bar
1,Argon,8.6128,700.51,-5.84,94,81,1
2,Bromine,9.2239,2582.32,-51.16,354,259,1
3,Chlorine,9.3408,1978.32,-20.75,172,157,1
4,Hydrogen,7.0131,164.9,3.19,25,14,1
5,Nitrogen,8.334,588.72,-6.6,90,54,1
6,Oxygen,8.7873,534.55,-6.45,100,63,1
7,Acetylene,9.7279,1637.14,-19.77,202,194,1
8,Benzene,9.2806,2788.51,-52.36,377,280,1
9,n-Butane,9.058,2154.9,-34.42,290,195,1
10,Cumene,9.352,3363.6,-63.37,454,311,1
11,Cyclohexane,9.1325,2766.63,-50.06,330,260,1
12,Cyclopentane,9.2372,2588.48,-41.79,345,230,1
13,n-Decane,9.3212,3456.8,-78.67,476,305,1
14,Ethane,9.0435,1511.42,-11.17,270,185,1
15,Ethylbenzene,9.3933,3279.47,-59.89,450,300,1
16,Ethylene,8.9166,1438.19,-10.18,200,160,1
17,n-Heptane,9.2315,2911.32,-56.51,420,285,1
18,1-Heptene,9.2629,2895.51,-53.97,400,265,1
19,n-Hexane,9.2164,2697.53,-52.13,370,260,1
20,Isobutane,8.9179,2032.32,-33.15,290,187,1
21,Isopentane,9.0136,2321.04,-40.05,322,216,1
22,Methane,9.2558,597.84,-6.81,190,110,1
23,Naphthalene,9.5224,3992.01,-71.29,525,305,1
24,n-Octane,9.3224,3120.29,-63.63,425,292,1
25,1-Octene,9.3148,3098.3,-61.54,410,285,1
26,n-Pentane,9.2131,2477.07,-39.94,330,230,1
27,Propane,9.1058,1872.46,-25.16,249,164,1
28,Propylene,9.0825,1827.3,-23.77,245,175,1
29,Styrene,9.3091,3328.57,-63.72,460,305,1
30,Toluene,9.3538,3096.52,-53.67,410,280,1
31,m-Xylene,9.3966,3363.01,-60.17,460,300,1
32,o-Xylene,9.4954,3395.57,-59.46,445,305,1
33,p-Xylene,9.4761,3346.65,-57.84,440,300,1
34,Ammonia,10.3729,2132.5,-32.98,261,179,1
35,Carbon dioxide,15.9696,3103.39,-0.16,204,154,1
36,Carbon disulfide,9.3642,2690.85,-31.62,342,228,1
37,Carbon monoxide,7.7484,530.22,-13.15,108,63,1
38,Carbon tetrachloride,9.254,2808.19,-45.99,374,253,1
39,Chloroform,8.353,2696.79,-46.16,370,260,1
40,Hydrogen chloride,9.8838,1714.25,-14.45,200,137,1
41,Hydrogen sulfide,9.4838,1768.69,-22.62,200,137,1
42,Nitric oxide,13.5112,1572.52,-2.08,140,95,1
43,Nitrous oxide,9.5069,1506.49,-25.99,200,145,1
44,Sulfur dioxide,10.1783,2595.36,-33.66,312,222,1
45,Sulfur trioxide,14.2201,3995.7,-36.66,322,290,1
46,Water,11.6834,3816.44,-46.13,441,284,1
47,Acetaldehyde,9.6729,2465.15,-37.15,320,210,1
48,Acetic acid,10.1878,3405.57,-56.34,430,290,1
49,Acetone,10.0311,2940.46,-35.93,360,250,1
50,Acetonitrile,9.6672,2945.47,-43.45,390,260,1
51,Aniline,10.0546,3857.52,-73.15,500,305,1
52,n-Butanol,10.5958,3137.02,-94.43,404,288,1
53,Chlorobenzene,9.4474,3295.12,-55.6,430,285,1
54,Diethyl ether,9.4626,2511.29,-41.95,340,225,1
55,Dimethyl ether,10.2265,2361.44,-17.1,265,179,1
56,Ethanol,12.2917,3817.09,-52.38,500,273,1
57,Ethyl acetate,9.5314,2790.5,-57.15,380,265,1
58,Ethylene oxide,10.1198,2567.61,-29.01,310,200,1
59,Formaldehyde,9.8573,1844.83,-18.15,271,185,1
60,n-Heptanol,8.6866,2626.42,-146.6,420,295,1
61,Isobutanol,10.251,2874.73,-100.3,388,275,1
62,Isopropanol,10.2402,3269.7,-53.84,374,260,1
63,Methanol,11.9673,3626.55,-34.29,500,257,1
64,Methyl acetate,9.5093,2901.66,-56.15,350,245,1
65,Methyl ethyl ketone,9.9236,3224.2,-51.6,375,265,1
66,Phenol,9.8077,3490.89,-89.65,481,295,1
67,n-Propanol,10.9237,3166.28,-80.15,400,285,1
