No.,Formula,Name,CAS,minimum temperature,maximum temperature,a0,a1,a2,a3,a4,ideal gas heat capacity at 298.15,Eq
-,-,-,-,Tmin,Tmax,a0,a1,a2,a3,a4,Cp_IG_298.15K,Cp_IG
-,-,-,-,K,K,1.00,1.00E+03,1.00E+05,1.00E+08,1.00E+11,J/mol.K,J/mol.K
1,Ar,argon,7440-37-1,0,0,2.500,0.000,0.000,0.000,0.000,20.79,1
2,Br₂,bromine,7726-95-6,50,1000,3.212,7.160,-1.53,1.445,-0.50,36.05,1
3,BrD,deuterium bromide,13536-59-9,50,1000,3.716,-2.318,0.738,-0.72,0.250,29.23,1
4,BrH,hydrogen bromide,10035-10-6,50,1000,3.842,-3.098,0.917,-1.03,0.426,29.14,1
5,CBrClF₂,bromochlorodifluoromethane,353-59-3,100,1000,1.968,36.592,-5.49,4.036,-1.17,74.65,1
6,CBrF₃,bromotrifluoromethane,75-63-8,100,1000,1.959,30.789,-3.78,2.236,-0.52,69.24,1
7,CBr₂F₂,dibromodifluoromethane,75-61-6,100,1000,2.476,36.115,-5.67,4.368,-1.32,77.02,1
8,CClF₃,chlorotrifluoromethane,75-72-9,50,1000,2.369,23.861,-1.58,-0.37,0.528,66.87,1
9,CCl₂F₂,dichlorodifluoromethane (R-12),75-71-8,50,1000,2.185,31.251,-3.72,1.930,-0.32,72.28,1
10,CCl₃F,trichlorofluoromethane (R-11),75-69-4,50,1000,2.090,38.890,-6.08,4.542,-1.32,78.09,1
11,CCl₄,tetrachloromethane,56-23-5,200,1000,2.518,41.882,-7.16,5.739,-1.76,83.43,1
12,CF₄,tetrafluoromethane,75-73-0,50,1000,2.643,15.383,0.850,-2.94,1.469,61.05,1
13,CHBrF₂,bromodifluoromethane,1511-62-2,100,1000,3.254,13.871,-0.07,-1.13,0.606,58.76,1
14,CHClF₂,chlorodifluoromethane (R-22),75-45-6,50,1000,3.164,10.422,1.179,-2.65,1.222,55.85,1
15,CHCl₂F,dichlorofluoromethane,75-43-4,50,1000,2.949,17.130,-0.63,-0.82,0.573,60.94,1
16,CHCl₃,trichloromethane,67-66-3,200,1000,2.389,26.218,-3.15,1.857,-0.42,65.40,1
17,CHF₃,trifluoromethane (R-23),75-46-7,50,1000,3.450,3.480,3.012,-4.45,1.834,50.98,1
18,CH₂Cl₂,dichloromethane,75-09-2,200,1000,2.710,11.561,0.324,-1.37,0.662,50.88,1
19,CH₂F₂,difluoromethane,75-10-5,50,1000,4.150,-5.584,4.384,-5.16,1.920,42.88,1
20,CH₂O₂,methanoic acid (formic acid),64-18-6,50,1000,3.809,1.568,3.587,-4.41,1.672,53.45,1
21,CH₃Cl,chloromethane,74-87-3,200,1000,3.578,-1.75,3.071,-3.71,1.408,40.74,1
22,CH₃F,fluoromethane,593-53-3,50,1000,4.561,-10.437,4.813,-5.07,1.769,37.51,1
23,CH₃NO₂,nitromethane,75-52-5,50,1000,4.196,-1.102,5.158,-6.72,2.660,57.22,1
24,CH₄,methane,74-82-8,50,1000,4.568,-8.975,3.631,-3.41,1.091,35.69,1
25,CH₄O,methanol,67-56-1,50,1000,4.714,-6.986,4.211,-4.44,1.535,44.06,1
26,CH₄S,methanethiol (methyl mercaptan),74-93-1,50,1000,4.119,1.313,2.591,-3.21,1.208,50.26,1
27,CH₅N,methanamine (methyl amine),74-89-5,50,1000,4.193,-2.122,4.039,-4.74,1.751,50.05,1
28,CO,carbon monoxide,630-08-0,50,1000,3.912,-3.913,1.182,-1.30,0.515,29.14,1
29,CO₂,carbon dioxide,124-38-9,50,1000,3.259,1.356,1.502,-2.37,1.056,37.13,1
30,C₂ClF₅,"1-chloro-1,1,2,2,2-pentafluoroethane",76-15-3,50,1000,2.355,50.469,-5.16,2.041,-0.14,111.10,1
31,C₂Cl₂F₄,"1,1-dichloro-1,2,2,2-tetrafluoroethane",374-07-2,50,1000,2.268,56.415,-6.908,3.953,-0.861,115.80,1
32,C₂Cl₂F₄,"1,2-dichloro-1,1,2,2-tetrafluoroethane",76-14-2,50,1000,2.525,53.644,-5.771,2.417,-0.199,116.60,1
33,C₂Cl₃F₃,"1,1,2-trichloro-1,2,2-trifluoroethane",76-13-1,50,1000,2.133,63.238,-8.916,6.140,-1.683,121.00,1
34,C₂F₄,tetrafluoroethene,116-14-3,200,1000,2.223,36.551,-4.776,3.283,-0.931,80.41,1
35,C₂F₆,hexafluoroethane,76-16-4,50,1000,2.525,43.543,-2.948,-0.630,0.967,106.54,1
36,C₂HClF₄,"1-chloro-1,1,2,2-tetrafluoroethane",354-25-6,50,1000,2.888,38.360,-2.468,-0.397,0.677,100.40,1
37,C₂HClF₄,"1-chloro-1,2,2,2-tetrafluoroethane",2837-89-0,50,1000,3.022,35.834,-1.744,-1.211,0.994,99.06,1
38,C₂HCl₂F₃,"1,1-dichloro-2,2,2-trifluoroethane (R-123)",306-83-2,50,1000,2.996,39.490,-2.743,-0.122,0.572,102.60,1
39,C₂HCl₂F₃,"1,2-dichloro-1,2,2-trifluoroethane (R-123a)",354-23-4,50,1000,2.699,43.299,-3.663,0.697,0.322,104.45,1
40,C₂HF₅,pentafluoroethane,354-33-6,50,1000,3.146,29.937,-0.056,-3.019,1.669,94.40,1
41,C₂H₂,ethyne (acetylene),74-86-2,50,1000,2.410,10.926,-0.255,-0.790,0.524,59.03,1
42,C₂H₂F₂,"1,1-difluoroethene",75-38-7,200,1000,0.749,26.756,-1.905,0.245,0.204,59.08,1
43,C₂H₂F₄,"1,1,1,2-tetrafluoroethane (R-134a)",811-97-2,50,1000,3.064,25.420,0.586,-3.339,1.716,86.64,1
44,C₂H₂F₄,"1,1,2,2-tetrafluoroethane (R-134)",359-35-3,50,1000,3.084,32.841,-2.425,0.488,0.162,90.32,1
45,C₂H₃ClF₂,"1-chloro-1,1-difluoroethane",75-68-3,50,1000,2.338,29.791,-1.048,-1.336,0.927,83.26,1
46,C₂H₃Cl₂F,"1,1-dichloro-1-fluoroethane (R-141b)",1717-00-6,50,1000,2.140,36.934,-3.121,0.927,0.068,88.37,1
47,C₂H₃F₃,"1,1,1-trifluoroethane (R-143a)",420-46-2,50,1000,2.577,23.727,0.480,-2.824,1.439,78.61,1
48,C₂H₃F₃,"1,1,2-trifluoroethane (R-143)",430-66-0,50,1000,3.531,16.450,2.074,-4.217,1.869,77.34,1
49,C₂H₄,ethene (ethylene),74-85-1,50,1000,4.221,-8.782,5.795,-6.729,2.511,42.90,1
50,C₂H₄Br₂,"1,2-dibromoethane",106-93-4,298,1000,3.784,24.587,-0.750,-0.886,0.601,85.31,1
51,C₂H₄Cl₂,"1,1-dichloroethane",75-34-3,200,1000,2.610,24.853,-0.675,-1.035,0.643,76.32,1
52,C₂H₄Cl₂,"1,2-dichloroethane",107-06-2,298,1000,2.990,23.197,-0.404,-1.133,0.617,77.32,1
53,C₂H₄F₂,"1,1-difluoroethane (R-152a)",75-37-6,50,1000,3.292,11.749,2.835,-4.645,1.941,68.49,1
54,C₂H₄O₂,ethanoic acid (acetic acid),64-19-7,50,1000,4.375,-2.397,6.757,-8.764,3.478,63.44,1
55,C₂H₄O₂,methyl methanoate (methyl formate),107-31-3,298,1000,2.277,18.013,1.160,-2.921,1.342,66.50,1
56,C₂H₅Br,bromoethane,74-96-4,100,1000,3.636,6.861,3.749,-5.446,2.231,64.23,1
57,C₂H₅Cl,chloroethane,75-00-3,200,1000,3.029,9.885,2.967,-4.550,1.871,62.64,1
58,C₂H₅F,fluoroethane,353-36-6,50,1000,3.881,1.616,4.799,-6.161,2.364,59.61,1
59,C₂H₆,ethane,74-84-0,50,1000,4.178,-4.427,5.660,-6.651,2.487,52.47,1
60,C₂H₆O,ethanol,64-17-5,50,1000,4.396,0.628,5.546,-7.024,2.685,65.21,1
61,C₂H₆O,dimethyl ether,115-10-6,100,1000,4.361,6.070,2.899,-3.581,1.282,65.57,1
62,C₂H₆S,ethanethiol (ethyl mercaptan),75-08-1,50,1000,3.894,12.951,2.052,-3.287,1.312,73.01,1
63,C₂H₆S,2-thiapropane (dimethylsulfide),75-18-3,273,1000,3.535,17.530,0.596,-1.632,0.696,74.06,1
64,C₂H₇N,ethanamine (ethyl amine),75-04-7,50,1000,4.640,2.069,5.797,-7.659,3.043,71.54,1
65,C₂H₇N,N-methylmethanamine (dimethyl amine),124-40-3,273,1000,2.469,15.462,2.642,-4.025,1.564,70.50,1
66,C₃F₈,octafluoropropane (R-218),76-19-7,200,1000,1.605,76.488,-8.707,4.540,-0.856,147.95,1
67,C₃H₃NO,"1,2-oxazole (isoxazole)",288-14-2,50,1000,3.911,-9.705,10.380,-13.472,5.359,59.01,1
68,C₃H₄,1-propyne (methyl acetylene),74-99-7,50,1000,3.158,12.210,1.167,-2.316,1.002,60.73,1
69,C₃H₄,"1,2-propadiene",463-49-0,50,1000,3.403,6.271,3.388,-5.113,2.161,81.82,1
70,C₃H₆,propene (propylene),115-07-1,50,1000,3.834,3.893,4.688,-6.013,2.283,64.32,1
71,C₃H₆,cyclopropane,75-19-4,50,1000,4.493,-18.097,12.744,-16.049,6.426,55.57,1
72,C₃H₆Cl₂,"1,2-dichloropropane",78-87-5,298,1000,1.697,40.582,-2.247,-0.038,0.377,98.27,1
73,C₃H₆O,2-propen-1-ol (allyl alcohol),107-18-6,298,1000,0.248,34.938,-1.685,-0.192,0.324,76.01,1
74,C₃H₆O,propanone (acetone),67-64-1,200,1000,5.126,1.511,5.731,-7.177,2.728,74.52,1
75,C₃H₆O₂,methyl ethanoate (methyl acetate),79-20-9,298,1000,4.242,14.388,3.338,-4.930,1.931,85.30,1
76,C₃H₇Cl,1-chloropropane,540-54-5,200,1000,4.365,9.895,5.366,-7.708,3.120,85.30,1
77,C₃H₈,propane,74-98-6,50,1000,3.847,5.131,6.011,-7.893,3.079,73.60,1
78,C₃H₈O,1-propanol,71-23-8,50,1000,4.712,6.565,6.310,-8.341,3.216,85.56,1
79,C₃H₈O,2-propanol,67-63-0,50,1000,3.334,18.853,3.644,-6.115,2.543,89.32,1
80,C₃H₈O,methyl ethyl ether,540-67-0,100,1000,4.008,21.493,1.803,-3.333,1.331,93.30,1
81,C₃H₈S,2-thiabutane (methyl ethyl sulfide),624-89-5,273,1000,2.816,29.186,0.807,-2.888,1.325,95.06,1
82,C₃H₉N,1-propanamine (propyl amine),107-10-8,50,1000,4.142,12.606,5.471,-7.524,2.918,91.80,1
83,C₃H₉N,2-propanamine (methyl ethyl amine),75-31-0,50,1000,3.633,22.221,3.094,-5.375,2.236,97.55,1
84,C₃H₉N,"N,N-dimethylmethanamine (trimethyl amine)",75-50-3,298,1000,1.660,27.899,2.517,-5.097,2.190,91.80,1
85,C₄F₈,octafluorocyclobutane,115-25-3,298,1000,0.949,80.942,-7.976,2.970,-0.087,79.48,1
86,C₄F₁₀,decafluoro-2-methylpropane,355-25-9,200,1000,1.965,99.798,-11.830,6.680,-1.457,78.02,1
87,C₄H₄O,furan,110-00-9,50,1000,3.816,-10.453,12.446,-16.907,7.020,65.40,1
88,C₄H₄S,thiophene,110-02-1,50,1000,3.063,1.520,9.514,-14.129,6.088,72.78,1
89,C₄H₅N,pyrrole,109-97-7,50,1000,3.554,-6.426,12.231,-16.957,7.095,71.60,1
90,C₄H₆,1-butyne,107-00-6,50,1000,2.995,20.800,1.560,-3.462,1.524,81.42,1
91,C₄H₆,"1,3-butadiene",106-99-0,50,1000,3.607,5.085,8.253,-12.371,5.321,79.54,1
92,C₄H₆O₃,acetic anhydride,108-24-7,298,1000,-1.274,50.172,-1.459,-1.951,1.244,99.51,1
93,C₄H₈,cyclobutane,287-23-0,50,1000,4.739,-16.423,14.488,-18.041,7.089,70.56,1
94,C₄H₈,1-butene,106-98-9,50,1000,4.389,7.984,6.143,-8.197,3.165,85.56,1
95,C₄H₈,trans-2-butene,624-64-6,50,1000,5.584,-4.890,9.133,-10.975,4.085,87.67,1
96,C₄H₈,cis-2-butene,590-18-1,50,1000,3.689,19.184,2.230,-3.426,1.256,80.15,1
97,C₄H₈,2-methylpropene,115-11-7,50,1000,3.231,20.949,2.313,-3.949,1.566,88.09,1
98,C₄H₈O,butanone (methyl ethyl ketone),78-93-3,200,1000,6.349,11.062,4.851,-6.484,2.469,103.26,1
99,C₄H₈O,tetrahydrofuran,109-99-9,50,1000,5.171,-19.464,16.460,-20.420,8.000,76.53,1
100,C₄H₈O₂,"1,3-dioxane",505-22-6,50,1000,3.834,-0.249,11.985,-15.494,6.047,89.47,1
101,C₄H₈O₂,"1,4-dioxane",123-91-1,50,1000,3.730,1.851,11.781,-15.602,6.177,92.18,1
102,C₄H₈O₂,ethyl ethanoate (ethyl acetate),141-78-6,298,1000,10.228,-14.948,13.033,-15.736,5.999,113.64,1
103,C₄H₉Cl,2-chlorobutane,78-86-4,200,1000,4.450,22.285,4.350,-7.215,3.015,110.22,1
104,C₄H₁₀,butane,106-97-8,200,1000,5.547,5.536,8.057,-10.571,4.134,98.49,1
105,C₄H₁₀,2-methylpropane (isobutane),75-28-5,50,1000,3.351,17.883,5.477,-8.099,3.243,96.65,1
106,C₄H₁₀O,1-butanol,71-36-3,50,1000,4.467,16.395,6.688,-9.690,3.864,108.03,1
107,C₄H₁₀O,2-methyl-2-propanol (tert-butanol),75-65-0,50,1000,2.611,36.052,1.517,-4.360,1.947,113.63,1
108,C₄H₁₀O,2-butanol (sec-butanol),78-92-2,50,1000,3.860,28.561,2.728,-5.140,2.117,112.74,1
109,C₄H₁₀O,diethyl ether,60-29-7,100,1000,4.612,37.492,-1.870,1.316,-0.698,119.46,1
110,C₄H₁₀S,3-thiapentane (diethyl sulfide),352-93-2,273,1000,4.335,26.082,3.959,-6.881,2.900,116.57,1
111,C₄H₁₁N,1-butanamine (butyl amine),109-73-9,298,1000,2.668,38.366,1.150,-3.817,1.712,113.90,1
112,C₄H₁₁N,n-ethylethanamine (diethyl amine),109-89-7,298,1000,3.028,32.373,2.828,-5.501,2.300,116.00,1
113,C₄H₁₁N,2-methyl-1-propanamine (isobutyl amine),78-81-9,298,1000,0.380,53.027,-2.436,0.207,0.038,117.09,1
114,C5F12,dodecafluoropentane,678-26-2,200,1000,2.315,123.238,-14.997,8.875,-2.081,231.95,1
115,C5H5N,pyridine,110-86-1,298,1000,-3.505,49.389,-1.746,-1.595,1.097,78.23,1
