no.,Name,Formula,CAS no.,molecular weight,C1,C2,C3,C4,C5,Tmin,Cp × 1E-05,Tmax,Cp × 1E-05,Eq
,,,,MW,C1,C2,C3,C4,C5,Tmin,Cp(min),Tmax,Cp(max),-
-,-,-,-,-,1,1,1,1,1,K,J/kmol.K,K,J/kmol.K,J/kmol.K
1,Acetaldehyde,C2 H4O,75-07-0,44.053,115100.000,-4.3300E+02,1.4250E+00,,,150.15,0.8221,294.00,1.1097,1
2,Acetamide,C2 H5NO,60-35-5,59.067,102300.000,1.2870E+02,,,,354.15,1.4788,571.00,1.7579,1
3,Acetic acid,C2 H4O2,64-19-7,60.052,139640.000,-3.2080E+02,8.9850E-01,,,289.81,1.2213,391.05,1.5159,1
4,Acetic anhydride,C4 H6O3,108-24-7,102.089,36600.000,5.1100E+02,,,,250.00,1.6435,350.00,2.1545,1
5,Acetone,C3 H6O,67-64-1,58.079,135600.000,-1.7700E+02,2.8370E-01,6.8900E-04,,178.45,1.1696,329.44,1.3271,1
6,Acetonitrile,C2 H3N,75-05-8,41.052,97582.000,-1.2220E+02,3.4085E-01,,,229.32,0.8748,354.75,0.9713,1
7,Acetylene,C2 H2,74-86-2,26.037,-122020.000,3.0827E+03,-1.5895E+01,2.7732E-02,,192.40,0.8021,250.00,0.8853,1
8,Acrolein,C3 H4O,107-02-8,56.063,103090.000,-2.4780E+02,1.0343E+00,,,253.00,1.0660,379.50,1.5801,1
9,Acrylic acid,C3 H4O2,79-10-7,72.063,55300.000,3.0000E+02,,,,286.15,1.4114,375.00,1.6780,1
10,Acrylonitrile,C3 H3N,107-13-1,53.063,109900.000,-1.0975E+02,3.5441E-01,,,189.63,1.0183,400.00,1.2271,1
11,Air,Mixture,132259-10-0,28.960,-214460.000,9.1851E+03,-1.0612E+02,4.1616E-01,,75.00,0.5307,115.00,0.7132,1
12,Ammonia,H3N,7664-41-7,17.031,61.289,8.0925E+04,7.9940E+02,-2.6510E+03,,203.15,0.7575,401.15,4.1847,2
13,Anisole,C7 H8O,100-66-3,108.138,150940.000,9.3455E+01,2.3602E-01,,,298.15,1.9978,484.20,2.5153,1
14,Argon,Ar,7440-37-1,39.948,134390.000,-1.9894E+03,1.1043E+01,,,83.78,0.4523,135.00,0.6708,1
15,Benzamide,C7 H7NO,55-21-0,121.137,161440.000,2.6066E+02,,,,403.00,2.6649,563.15,3.0823,1
16,Benzene,C6 H6,71-43-2,78.112,129440.000,-1.6950E+02,6.4781E-01,,,278.68,1.3251,353.24,1.5040,1
16,Benzene,C6 H6,71-43-2,78.112,162940.000,-3.4494E+02,8.5562E-01,,,278.68,1.3326,500.00,2.0437,1
17,Benzenethiol,C6 H6S,108-98-5,110.177,119780.000,1.8034E+02,,,,258.27,1.6636,442.29,1.9954,1
18,Benzoic acid,C7 H6O2,65-85-0,122.121,-5480.000,6.4712E+02,,,,395.45,2.5042,450.00,2.8572,1
19,Benzonitrile,C7 H5N,100-47-0,103.121,93383.000,2.4261E+02,,,,260.40,1.5656,464.15,2.0599,1
