no.,Name,Formula,CAS-number,molecular-weight,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
,-,-,-,MW,EnFo_IG,GiEnFo_IG,Ent_IG,EnCo_STD
-,-,-,-,g/mol,kJ/mol,kJ/mol,J/mol.K,kJ/mol
1,Acetaldehyde,C2H4O,75-07-0,44.053,-166.4,-133.3,264.2,-11.045
2,Acetamide,C2H5NO,60-35-5,59.067,-238.3,-159.6,272.2,-10.741
3,Acetic acid,C2H4O2,64-19-7,60.052,-461.1,-403,282.5,-7.866
4,Acetic anhydride,C4H6O3,108-24-7,102.089,-572.5,-473.4,389.9,-16.75
5,Acetone,C3H6O,67-64-1,58.079,-215.7,-151.3,295.4,-16.59
6,Acetonitrile,C2H3N,1975-05-08,41.052,74.04,91.868,243.29,-11.9043
7,Acetylene,C2H2,74-86-2,26.037,228.2,210.68,200.81,-12.57
8,Acrolein,C3H4O,107-02-8,56.063,-81.8,-56.8,297,-15.468
9,Acrylic acid,C3H4O2,1979-10-07,72.063,-355.91,-306,315,-13.2717
10,Acrylonitrile,C3H3N,107-13-1,53.063,183.7,193.7,275.3,-16.9
11,Air,Mixture,132259-10-0,28.96,0,0,199,0
12,Ammonia,H3N,7664-41-7,17.031,-45.898,-16.4,192.66,-3.1683
13,Anisole,C7H8O,100-66-3,108.138,-67.9,22.7,361,-36.072
14,Argon,Ar,7440-37-1,39.948,0,0,154.737,0
15,Benzamide,C7H7NO,55-21-0,121.137,-100.9,-2.11,364.1,-33.9877
16,Benzene,C6H6,71-43-2,78.112,82.88,129.6,269.3,-31.36
17,Benzenethiol,C6H6S,108-98-5,110.177,111.5,147.6,336.9,-34.474
18,Benzoic acid,C7H6O2,65-85-0,122.121,-294.1,-214.2,369,-30.951
19,Benzonitrile,C7H5N,100-47-0,103.121,215.7,257.8,321,-35.238
20,Benzophenone,C13H10O,119-61-9,182.218,56.8,173,440,-62.876
21,Benzyl alcohol,C7H8O,100-51-6,108.138,-90.25,-2.54,371.3,-35.6
22,Benzyl ethyl ether,C9H12O,539-30-0,136.191,-115,33.7,439,-48.3
23,Benzyl mercaptan,C7H8S,100-53-8,124.203,93.3,163,360.7,-40.6
24,Biphenyl,C12H10,92-52-4,154.208,178.49,276.3,393.67,-62.48
25,Bromine,Br2,7726-95-6,159.808,30.91,3.14,245.35,0
26,Bromobenzene,C6 H5Br,108-86-1,157.008,105.018,138.532,324.386,-30.1917
27,Bromoethane,C2 H5Br,74-96-4,108.965,-63.6,-25.82,287.3,-12.85
28,Bromomethane,CH3Br,74-83-9,94.939,-37.7,-28.19,245.8,-7.0542
29,"1,2-Butadiene",C4H6,590-19-2,54.09,162.3,198.6,293,-24.617
30,"1,3-Butadiene",C4H6,106-99-0,54.09,109.24,149.72,278.89,-24.09
