Id,No.,Name,Formula,CAS no.,C1,C2,C3,C4,C5,Tmin,P(Tmin),Tmax,P(Tmax),Eq
-,-,-,-,-,C1,C2,C3,C4,C5,Tmin,P(Tmin),Tmax,P(Tmax),VaPr
-,-,-,-,-,1,1,1,1,1,K,Pa,K,Pa,Pa
1,1,Acetaldehyde,C2H4O,75-07-0,193.69,-8036.7,-29.502,4.37E-02,1,150.15,3.23E-01,466,5.57E+06,1
2,2,Acetamide,C2H5NO,60-35-5,125.81,-12376,-14.589,5.08E-06,2,353.33,3.36E+02,761,6.57E+06,1
3,3,Acetic acid,C2H4O2,64-19-7,53.27,-6304.5,-4.2985,8.89E-18,6,289.81,1.28E+03,591.95,5.74E+06,1
4,4,Acetic anhydride,C4H6O3,108-24-7,100.95,-8873.2,-11.451,6.13E-06,2,200.15,2.20E-02,606,3.97E+06,1
5,5,Acetone,C3H6O,67-64-1,69.006,-5599.6,-7.0985,6.22E-06,2,178.45,2.79E+00,508.2,4.71E+06,1
6,6,Acetonitrile,C2H3N,1975-05-08,58.302,-5385.6,-5.4954,5.36E-06,2,229.32,1.87E+02,545.5,4.85E+06,1
7,7,Acetylene,C2H2,74-86-2,39.63,-2552.2,-2.78,2.39E-16,6,192.4,1.27E+05,308.3,6.11E+06,1
8,8,Acrolein,C3H4O,0107-02-08,138.4,-7122.7,-19.638,2.64E-02,1,185.45,1.03E+01,506,5.02E+06,1
9,9,Acrylic acid,C3H4O2,1979-10-07,46.745,-6587.1,-3.2208,5.23E-07,2,286.15,2.57E+02,615,5.66E+06,1
10,10,Acrylonitrile,C3H3N,107-13-1,87.604,-6392.7,-10.101,1.09E-05,2,189.63,3.68E+00,535,4.48E+06,1
11,11,Air,Mixture,132259-10-0,21.662,-692.39,-0.392,4.76E-03,1,59.15,5.64E+03,132.45,3.79E+06,1
12,12,Ammonia,H3N,7664-41-7,90.483,-4669.7,-11.607,1.72E-02,1,195.41,6.11E+03,405.65,1.13E+07,1
13,13,Anisole,C7H8O,100-66-3,128.06,-9307.7,-16.693,1.49E-02,1,235.65,2.45E+00,645.6,4.27E+06,1
14,14,Argon,Ar,7440-37-1,42.127,-1093.1,-4.1425,5.73E-05,2,83.78,6.87E+04,150.86,4.90E+06,1
15,15,Benzamide,C7H7NO,55-21-0,85.474,-11932,-8.3348,1.29E-18,6,403,3.55E+02,824,5.05E+06,1
16,16,Benzene,C6H6,71-43-2,83.107,-6486.2,-9.2194,6.98E-06,2,278.68,4.76E+03,562.05,4.88E+06,1
