No.,Name,molecular weight,acentric factor,critical temperature,critical pressure,critical compressibility factor,critical molar volume,normal boiling point
-,-,MW,AcFa,Tc,Pc,Zc,Vc,Tb
-,-,1,1,K,bar,1,cm3/mol,K
1,Methane,16.04,0.012,190.6,45.99,0.286,98.6,111.40
2,Ethane,30.070,0.10,305.3,48.72,0.279,145.5,184.6
3,Propane,44.097,0.15,369.8,42.48,0.276,200.0,231.1
4,n-Butane,58.123,0.200,425.1,37.96,0.274,255.,272.7
5,n-Pentane,72.150,0.252,469.7,33.70,0.270,313.00,309.2
6,n-Hexane,86.177,0.301,507.6,30.25,0.266,371.,341.9
7,n-Heptane,100.204,0.350,540.2,27.40,0.261,428.,371.6
8,n-Octane,114.231,0.400,568.7,24.90,0.256,486.,398.8
9,n-Nonane,128.258,0.444,594.6,22.90,0.252,544.,424.0
10,n-Decane,142.285,0.492,617.7,21.10,0.247,600.,447.3
11,Isobutane,58.123,0.181,408.1,36.48,0.282,262.7,261.4
12,Isooctane,114.231,0.302,544.0,25.68,0.266,468.,372.4
13,Cyclopentane,70.134,0.196,511.8,45.02,0.273,258.,322.4
14,Cyclohexane,84.161,0.210,553.6,40.73,0.273,308.,353.9
15,Methylcyclopentane,84.161,0.230,532.8,37.85,0.272,319.,345.0
16,Methylcyclohexane,98.188,0.235,572.2,34.71,0.269,368.,374.1
17,Ethylene,28.054,0.087,282.3,50.40,0.281,131.,169.4
18,Propylene,42.081,0.140,365.6,46.65,0.289,188.4,225.5
19,1-Butene,56.108,0.191,420.0,40.43,0.277,239.3,266.9
20,cis-2-Butene,56.108,0.205,435.6,42.43,0.273,233.8,276.9
21,trans-2-Butene,56.108,0.218,428.6,41.00,0.275,237.7,274.0
22,1-Hexene,84.161,0.280,504.0,31.40,0.265,354.,336.3
23,Isobutylene,56.108,0.194,417.9,40.00,0.275,238.9,266.3
24,"1,3-Butadiene",54.092,0.190,425.2,42.77,0.267,220.4,268.7
25,Cyclohexene,82.145,0.212,560.4,43.50,0.272,291.,356.1
26,Acetylene,26.038,0.187,308.3,61.39,0.271,113.,189.4
27,Benzene,78.114,0.210,562.2,48.98,0.271,259.,353.2
28,Toluene,92.141,0.262,591.8,41.06,0.264,316.,383.8
29,Ethylbenzene,106.167,0.303,617.2,36.06,0.263,374.,409.4
30,Cumene,120.194,0.326,631.1,32.09,0.261,427.,425.6
31,o-Xylene,106.167,0.310,630.3,37.34,0.263,369.,417.6
32,m-Xylene,106.167,0.326,617.1,35.36,0.259,376.,412.3
33,p-Xylene,106.167,0.322,616.2,35.11,0.260,379.,411.5
34,Styrene,104.152,0.297,636.0,38.40,0.256,352.,418.3
35,Naphthalene,128.174,0.302,748.4,40.51,0.269,413.,491.2
36,Biphenyl,154.211,0.365,789.3,38.50,0.295,502.,528.2
37,Formaldehyde,30.026,0.282,408.0,65.90,0.223,115.,254.1
38,Acetaldehyde,44.053,0.291,466.0,55.50,0.221,154.,294.0
39,Methyl acetate,74.079,0.331,506.6,47.50,0.257,228.,330.1
40,Ethyl acetate,88.106,0.366,523.3,38.80,0.255,286.,350.2
41,Acetone,58.080,0.307,508.2,47.01,0.233,209.,329.4
42,Methyl ethyl ketone,72.107,0.323,535.5,41.50,0.249,267.,352.8
43,Diethyl ether,74.123,0.281,466.7,36.40,0.263,280.,307.6
44,Methyl t-butyl ether,88.150,0.266,497.1,34.30,0.273,329.,328.4
45,Methanol,32.042,0.564,512.6,80.97,0.224,118.,337.9
46,Ethanol,46.069,0.645,513.9,61.48,0.240,167.,351.4
47,1-Propanol,60.096,0.622,536.8,51.75,0.254,219.,370.4
48,1-Butanol,74.123,0.594,563.1,44.23,0.260,275.,390.8
49,1-Hexanol,102.177,0.579,611.4,35.10,0.263,381.,430.6
